stage,tensor,sender,receiver,prefix_last_op,prefix_end,sender_first_whole_op3,sender_first_whole_op3_start,sender_V_gap_before_whole_op3,sender_op3_start_minus_copy_out_end,copy_out_id,copy_out_start,copy_out_end,copy_out_duration,copy_in_id,copy_in_release,copy_in_start,copy_in_end,copy_in_duration,wait_after_release,previous_MTE2_op,previous_MTE2_end,wait_beyond_release_and_MTE2_predecessor,second_whole_op2,second_whole_op2_end,copy_start_minus_op2_end,same_core_ops_ending_at_copy_start,whole_last_op,whole_end,suffix_first_op,suffix_start,suffix_last_op,suffix_end,copy_finish_after_whole_end,suffix_gap,unexplained_suffix_delay,receiver_first_start,root_input_copy_end,root_tail_after_leaf_copy
119,1000007074,1,3,7063,766137,7076,767232,47,0,1000023775,766137,767232,1095,1000023776,767732,768235,769332,1097,503,1000023755,765091,503,7047,768235,0,7047,7049,769283,7064,769332,7065,770380,49,49,0,765091,770882,91
120,1000007129,0,2,7118,772523,7127,773618,47,0,1000023817,772523,773618,1095,1000023818,774118,774621,775718,1097,503,1000023800,771477,503,7098,774621,0,7098,7100,775669,7119,775718,7120,776766,49,49,0,771477,777268,92
120,1000007133,1,3,7122,772524,7135,773619,47,0,1000023823,772524,773619,1095,1000023824,774119,774622,775719,1097,503,1000023803,771478,503,7106,774622,0,7106,7108,775670,7123,775719,7124,776767,49,49,0,771478,777269,91
121,1000007188,0,2,7177,778910,7186,780005,47,0,1000023865,778910,780005,1095,1000023866,780505,781008,782105,1097,503,1000023848,777864,503,7157,781008,0,7157,7159,782056,7178,782105,7179,783153,49,49,0,777864,783655,92
121,1000007192,1,3,7181,778911,7194,780006,47,0,1000023871,778911,780006,1095,1000023872,780506,781009,782106,1097,503,1000023851,777865,503,7165,781009,0,7165,7167,782057,7182,782106,7183,783154,49,49,0,777865,783656,91
122,1000007247,0,2,7236,785297,7245,786392,47,0,1000023913,785297,786392,1095,1000023914,786892,787395,788492,1097,503,1000023896,784251,503,7216,787395,0,7216,7218,788443,7237,788492,7238,789540,49,49,0,784251,790042,92
122,1000007251,1,3,7240,785298,7253,786393,47,0,1000023919,785298,786393,1095,1000023920,786893,787396,788493,1097,503,1000023899,784252,503,7224,787396,0,7224,7226,788444,7241,788493,7242,789541,49,49,0,784252,790043,91
123,1000007306,0,2,7295,791684,7304,792779,47,0,1000023961,791684,792779,1095,1000023962,793279,793782,794879,1097,503,1000023944,790638,503,7275,793782,0,7275,7277,794830,7296,794879,7297,795927,49,49,0,790638,796429,92
123,1000007310,1,3,7299,791685,7312,792780,47,0,1000023967,791685,792780,1095,1000023968,793280,793783,794880,1097,503,1000023947,790639,503,7283,793783,0,7283,7285,794831,7300,794880,7301,795928,49,49,0,790639,796430,91
124,1000007365,0,2,7354,798071,7363,799166,47,0,1000024009,798071,799166,1095,1000024010,799666,800169,801266,1097,503,1000023992,797025,503,7334,800169,0,7334,7336,801217,7355,801266,7356,802314,49,49,0,797025,802816,92
124,1000007369,1,3,7358,798072,7371,799167,47,0,1000024015,798072,799167,1095,1000024016,799667,800170,801267,1097,503,1000023995,797026,503,7342,800170,0,7342,7344,801218,7359,801267,7360,802315,49,49,0,797026,802817,91
125,1000007424,0,2,7413,804458,7422,805553,47,0,1000024057,804458,805553,1095,1000024058,806053,806556,807653,1097,503,1000024040,803412,503,7393,806556,0,7393,7395,807604,7414,807653,7415,808701,49,49,0,803412,809203,92
125,1000007428,1,3,7417,804459,7430,805554,47,0,1000024063,804459,805554,1095,1000024064,806054,806557,807654,1097,503,1000024043,803413,503,7401,806557,0,7401,7403,807605,7418,807654,7419,808702,49,49,0,803413,809204,91
126,1000007483,0,2,7472,810845,7481,811940,47,0,1000024105,810845,811940,1095,1000024106,812440,812943,814040,1097,503,1000024088,809799,503,7452,812943,0,7452,7454,813991,7473,814040,7474,815088,49,49,0,809799,815590,92
126,1000007487,1,3,7476,810846,7489,811941,47,0,1000024111,810846,811941,1095,1000024112,812441,812944,814041,1097,503,1000024091,809800,503,7460,812944,0,7460,7462,813992,7477,814041,7478,815089,49,49,0,809800,815591,91
127,1000007542,0,2,7531,817232,7540,818327,47,0,1000024153,817232,818327,1095,1000024154,818827,819330,820427,1097,503,1000024136,816186,503,7511,819330,0,7511,7513,820378,7532,820427,7533,821475,49,49,0,816186,821977,92
127,1000007546,1,3,7535,817233,7548,818328,47,0,1000024159,817233,818328,1095,1000024160,818828,819331,820428,1097,503,1000024139,816187,503,7519,819331,0,7519,7521,820379,7536,820428,7537,821476,49,49,0,816187,821978,91
128,1000007601,0,2,7590,823619,7599,824714,47,0,1000024201,823619,824714,1095,1000024202,825214,825717,826814,1097,503,1000024184,822573,503,7570,825717,0,7570,7572,826765,7591,826814,7592,827862,49,49,0,822573,828364,92
128,1000007605,1,3,7594,823620,7607,824715,47,0,1000024207,823620,824715,1095,1000024208,825215,825718,826815,1097,503,1000024187,822574,503,7578,825718,0,7578,7580,826766,7595,826815,7596,827863,49,49,0,822574,828365,91
129,1000007660,0,2,7649,830006,7658,831101,47,0,1000024249,830006,831101,1095,1000024250,831601,832104,833201,1097,503,1000024232,828960,503,7629,832104,0,7629,7631,833152,7650,833201,7651,834249,49,49,0,828960,834751,92
129,1000007664,1,3,7653,830007,7666,831102,47,0,1000024255,830007,831102,1095,1000024256,831602,832105,833202,1097,503,1000024235,828961,503,7637,832105,0,7637,7639,833153,7654,833202,7655,834250,49,49,0,828961,834752,91
130,1000007719,0,2,7708,836393,7717,837488,47,0,1000024297,836393,837488,1095,1000024298,837988,838491,839588,1097,503,1000024280,835347,503,7688,838491,0,7688,7690,839539,7709,839588,7710,840636,49,49,0,835347,841138,92
130,1000007723,1,3,7712,836394,7725,837489,47,0,1000024303,836394,837489,1095,1000024304,837989,838492,839589,1097,503,1000024283,835348,503,7696,838492,0,7696,7698,839540,7713,839589,7714,840637,49,49,0,835348,841139,91
131,1000007778,0,2,7767,842780,7776,843875,47,0,1000024345,842780,843875,1095,1000024346,844375,844878,845975,1097,503,1000024328,841734,503,7747,844878,0,7747,7749,845926,7768,845975,7769,847023,49,49,0,841734,847525,92
131,1000007782,1,3,7771,842781,7784,843876,47,0,1000024351,842781,843876,1095,1000024352,844376,844879,845976,1097,503,1000024331,841735,503,7755,844879,0,7755,7757,845927,7772,845976,7773,847024,49,49,0,841735,847526,91
132,1000007837,0,2,7826,849167,7835,850262,47,0,1000024393,849167,850262,1095,1000024394,850762,851265,852362,1097,503,1000024376,848121,503,7806,851265,0,7806,7808,852313,7827,852362,7828,853410,49,49,0,848121,853912,92
132,1000007841,1,3,7830,849168,7843,850263,47,0,1000024399,849168,850263,1095,1000024400,850763,851266,852363,1097,503,1000024379,848122,503,7814,851266,0,7814,7816,852314,7831,852363,7832,853411,49,49,0,848122,853913,91
133,1000007896,0,2,7885,855554,7894,856649,47,0,1000024441,855554,856649,1095,1000024442,857149,857652,858749,1097,503,1000024424,854508,503,7865,857652,0,7865,7867,858700,7886,858749,7887,859797,49,49,0,854508,860299,92
133,1000007900,1,3,7889,855555,7902,856650,47,0,1000024447,855555,856650,1095,1000024448,857150,857653,858750,1097,503,1000024427,854509,503,7873,857653,0,7873,7875,858701,7890,858750,7891,859798,49,49,0,854509,860300,91
134,1000007955,0,2,7944,861941,7953,863036,47,0,1000024489,861941,863036,1095,1000024490,863536,864039,865136,1097,503,1000024472,860895,503,7924,864039,0,7924,7926,865087,7945,865136,7946,866184,49,49,0,860895,866686,92
134,1000007959,1,3,7948,861942,7961,863037,47,0,1000024495,861942,863037,1095,1000024496,863537,864040,865137,1097,503,1000024475,860896,503,7932,864040,0,7932,7934,865088,7949,865137,7950,866185,49,49,0,860896,866687,91
135,1000008014,0,2,8003,868328,8012,869423,47,0,1000024537,868328,869423,1095,1000024538,869923,870426,871523,1097,503,1000024520,867282,503,7983,870426,0,7983,7985,871474,8004,871523,8005,872571,49,49,0,867282,873073,92
135,1000008018,1,3,8007,868329,8020,869424,47,0,1000024543,868329,869424,1095,1000024544,869924,870427,871524,1097,503,1000024523,867283,503,7991,870427,0,7991,7993,871475,8008,871524,8009,872572,49,49,0,867283,873074,91
136,1000008073,0,2,8062,874715,8071,875810,47,0,1000024585,874715,875810,1095,1000024586,876310,876813,877910,1097,503,1000024568,873669,503,8042,876813,0,8042,8044,877861,8063,877910,8064,878958,49,49,0,873669,879460,92
136,1000008077,1,3,8066,874716,8079,875811,47,0,1000024591,874716,875811,1095,1000024592,876311,876814,877911,1097,503,1000024571,873670,503,8050,876814,0,8050,8052,877862,8067,877911,8068,878959,49,49,0,873670,879461,91
137,1000008132,0,2,8121,881102,8130,882197,47,0,1000024633,881102,882197,1095,1000024634,882697,883200,884297,1097,503,1000024616,880056,503,8101,883200,0,8101,8103,884248,8122,884297,8123,885345,49,49,0,880056,885847,92
137,1000008136,1,3,8125,881103,8138,882198,47,0,1000024639,881103,882198,1095,1000024640,882698,883201,884298,1097,503,1000024619,880057,503,8109,883201,0,8109,8111,884249,8126,884298,8127,885346,49,49,0,880057,885848,91
138,1000008191,0,2,8180,887489,8189,888584,47,0,1000024681,887489,888584,1095,1000024682,889084,889587,890684,1097,503,1000024664,886443,503,8160,889587,0,8160,8162,890635,8181,890684,8182,891732,49,49,0,886443,892234,92
138,1000008195,1,3,8184,887490,8197,888585,47,0,1000024687,887490,888585,1095,1000024688,889085,889588,890685,1097,503,1000024667,886444,503,8168,889588,0,8168,8170,890636,8185,890685,8186,891733,49,49,0,886444,892235,91
139,1000008250,0,2,8239,893876,8248,894971,47,0,1000024729,893876,894971,1095,1000024730,895471,895974,897071,1097,503,1000024712,892830,503,8219,895974,0,8219,8221,897022,8240,897071,8241,898119,49,49,0,892830,898621,92
139,1000008254,1,3,8243,893877,8256,894972,47,0,1000024735,893877,894972,1095,1000024736,895472,895975,897072,1097,503,1000024715,892831,503,8227,895975,0,8227,8229,897023,8244,897072,8245,898120,49,49,0,892831,898622,91
140,1000008309,0,2,8298,900263,8307,901358,47,0,1000024777,900263,901358,1095,1000024778,901858,902361,903458,1097,503,1000024760,899217,503,8278,902361,0,8278,8280,903409,8299,903458,8300,904506,49,49,0,899217,905008,92
140,1000008313,1,3,8302,900264,8315,901359,47,0,1000024783,900264,901359,1095,1000024784,901859,902362,903459,1097,503,1000024763,899218,503,8286,902362,0,8286,8288,903410,8303,903459,8304,904507,49,49,0,899218,905009,91
141,1000008368,0,2,8357,906650,8366,907745,47,0,1000024825,906650,907745,1095,1000024826,908245,908748,909845,1097,503,1000024808,905604,503,8337,908748,0,8337,8339,909796,8358,909845,8359,910893,49,49,0,905604,911395,92
141,1000008372,1,3,8361,906651,8374,907746,47,0,1000024831,906651,907746,1095,1000024832,908246,908749,909846,1097,503,1000024811,905605,503,8345,908749,0,8345,8347,909797,8362,909846,8363,910894,49,49,0,905605,911396,91
142,1000008427,0,2,8416,913037,8425,914132,47,0,1000024873,913037,914132,1095,1000024874,914632,915135,916232,1097,503,1000024856,911991,503,8396,915135,0,8396,8398,916183,8417,916232,8418,917280,49,49,0,911991,917782,92
142,1000008431,1,3,8420,913038,8433,914133,47,0,1000024879,913038,914133,1095,1000024880,914633,915136,916233,1097,503,1000024859,911992,503,8404,915136,0,8404,8406,916184,8421,916233,8422,917281,49,49,0,911992,917783,91
143,1000008486,0,2,8475,919424,8484,920519,47,0,1000024921,919424,920519,1095,1000024922,921019,921522,922619,1097,503,1000024904,918378,503,8455,921522,0,8455,8457,922570,8476,922619,8477,923667,49,49,0,918378,924169,92
143,1000008490,1,3,8479,919425,8492,920520,47,0,1000024927,919425,920520,1095,1000024928,921020,921523,922620,1097,503,1000024907,918379,503,8463,921523,0,8463,8465,922571,8480,922620,8481,923668,49,49,0,918379,924170,91
144,1000008545,0,2,8534,925811,8543,926906,47,0,1000024969,925811,926906,1095,1000024970,927406,927909,929006,1097,503,1000024952,924765,503,8514,927909,0,8514,8516,928957,8535,929006,8536,930054,49,49,0,924765,930556,92
144,1000008549,1,3,8538,925812,8551,926907,47,0,1000024975,925812,926907,1095,1000024976,927407,927910,929007,1097,503,1000024955,924766,503,8522,927910,0,8522,8524,928958,8539,929007,8540,930055,49,49,0,924766,930557,91
145,1000008604,0,2,8593,932198,8602,933293,47,0,1000025017,932198,933293,1095,1000025018,933793,934296,935393,1097,503,1000025000,931152,503,8573,934296,0,8573,8575,935344,8594,935393,8595,936441,49,49,0,931152,936943,92
145,1000008608,1,3,8597,932199,8610,933294,47,0,1000025023,932199,933294,1095,1000025024,933794,934297,935394,1097,503,1000025003,931153,503,8581,934297,0,8581,8583,935345,8598,935394,8599,936442,49,49,0,931153,936944,91
146,1000008663,0,2,8652,938585,8661,939680,47,0,1000025065,938585,939680,1095,1000025066,940180,940683,941780,1097,503,1000025048,937539,503,8632,940683,0,8632,8634,941731,8653,941780,8654,942828,49,49,0,937539,943330,92
146,1000008667,1,3,8656,938586,8669,939681,47,0,1000025071,938586,939681,1095,1000025072,940181,940684,941781,1097,503,1000025051,937540,503,8640,940684,0,8640,8642,941732,8657,941781,8658,942829,49,49,0,937540,943331,91
147,1000008722,0,2,8711,944972,8720,946067,47,0,1000025113,944972,946067,1095,1000025114,946567,947070,948167,1097,503,1000025096,943926,503,8691,947070,0,8691,8693,948118,8712,948167,8713,949215,49,49,0,943926,949717,92
147,1000008726,1,3,8715,944973,8728,946068,47,0,1000025119,944973,946068,1095,1000025120,946568,947071,948168,1097,503,1000025099,943927,503,8699,947071,0,8699,8701,948119,8716,948168,8717,949216,49,49,0,943927,949718,91
148,1000008781,0,2,8770,951359,8779,952454,47,0,1000025161,951359,952454,1095,1000025162,952954,953457,954554,1097,503,1000025144,950313,503,8750,953457,0,8750,8752,954505,8771,954554,8772,955602,49,49,0,950313,956104,92
148,1000008785,1,3,8774,951360,8787,952455,47,0,1000025167,951360,952455,1095,1000025168,952955,953458,954555,1097,503,1000025147,950314,503,8758,953458,0,8758,8760,954506,8775,954555,8776,955603,49,49,0,950314,956105,91
149,1000008840,0,2,8829,957746,8838,958841,47,0,1000025209,957746,958841,1095,1000025210,959341,959844,960941,1097,503,1000025192,956700,503,8809,959844,0,8809,8811,960892,8830,960941,8831,961989,49,49,0,956700,962491,92
149,1000008844,1,3,8833,957747,8846,958842,47,0,1000025215,957747,958842,1095,1000025216,959342,959845,960942,1097,503,1000025195,956701,503,8817,959845,0,8817,8819,960893,8834,960942,8835,961990,49,49,0,956701,962492,91
150,1000008899,0,2,8888,964133,8897,965228,47,0,1000025257,964133,965228,1095,1000025258,965728,966231,967328,1097,503,1000025240,963087,503,8868,966231,0,8868,8870,967279,8889,967328,8890,968376,49,49,0,963087,968878,92
150,1000008903,1,3,8892,964134,8905,965229,47,0,1000025263,964134,965229,1095,1000025264,965729,966232,967329,1097,503,1000025243,963088,503,8876,966232,0,8876,8878,967280,8893,967329,8894,968377,49,49,0,963088,968879,91
151,1000008958,0,2,8947,970520,8956,971615,47,0,1000025305,970520,971615,1095,1000025306,972115,972618,973715,1097,503,1000025288,969474,503,8927,972618,0,8927,8929,973666,8948,973715,8949,974763,49,49,0,969474,975265,92
151,1000008962,1,3,8951,970521,8964,971616,47,0,1000025311,970521,971616,1095,1000025312,972116,972619,973716,1097,503,1000025291,969475,503,8935,972619,0,8935,8937,973667,8952,973716,8953,974764,49,49,0,969475,975266,91
152,1000009017,0,2,9006,976907,9015,978002,47,0,1000025353,976907,978002,1095,1000025354,978502,979005,980102,1097,503,1000025336,975861,503,8986,979005,0,8986,8988,980053,9007,980102,9008,981150,49,49,0,975861,981652,92
152,1000009021,1,3,9010,976908,9023,978003,47,0,1000025359,976908,978003,1095,1000025360,978503,979006,980103,1097,503,1000025339,975862,503,8994,979006,0,8994,8996,980054,9011,980103,9012,981151,49,49,0,975862,981653,91
153,1000009076,0,2,9065,983294,9074,984389,47,0,1000025401,983294,984389,1095,1000025402,984889,985392,986489,1097,503,1000025384,982248,503,9045,985392,0,9045,9047,986440,9066,986489,9067,987537,49,49,0,982248,988039,92
153,1000009080,1,3,9069,983295,9082,984390,47,0,1000025407,983295,984390,1095,1000025408,984890,985393,986490,1097,503,1000025387,982249,503,9053,985393,0,9053,9055,986441,9070,986490,9071,987538,49,49,0,982249,988040,91
154,1000009135,0,2,9124,989681,9133,990776,47,0,1000025449,989681,990776,1095,1000025450,991276,991779,992876,1097,503,1000025432,988635,503,9104,991779,0,9104,9106,992827,9125,992876,9126,993924,49,49,0,988635,994426,92
154,1000009139,1,3,9128,989682,9141,990777,47,0,1000025455,989682,990777,1095,1000025456,991277,991780,992877,1097,503,1000025435,988636,503,9112,991780,0,9112,9114,992828,9129,992877,9130,993925,49,49,0,988636,994427,91
155,1000009194,0,2,9183,996068,9192,997163,47,0,1000025497,996068,997163,1095,1000025498,997663,998166,999263,1097,503,1000025480,995022,503,9163,998166,0,9163,9165,999214,9184,999263,9185,1000311,49,49,0,995022,1000813,92
155,1000009198,1,3,9187,996069,9200,997164,47,0,1000025503,996069,997164,1095,1000025504,997664,998167,999264,1097,503,1000025483,995023,503,9171,998167,0,9171,9173,999215,9188,999264,9189,1000312,49,49,0,995023,1000814,91
156,1000009253,0,2,9242,1002455,9251,1003550,47,0,1000025545,1002455,1003550,1095,1000025546,1004050,1004553,1005650,1097,503,1000025528,1001409,503,9222,1004553,0,9222,9224,1005601,9243,1005650,9244,1006698,49,49,0,1001409,1007200,92
156,1000009257,1,3,9246,1002456,9259,1003551,47,0,1000025551,1002456,1003551,1095,1000025552,1004051,1004554,1005651,1097,503,1000025531,1001410,503,9230,1004554,0,9230,9232,1005602,9247,1005651,9248,1006699,49,49,0,1001410,1007201,91
157,1000009312,0,2,9301,1008842,9310,1009937,47,0,1000025593,1008842,1009937,1095,1000025594,1010437,1010940,1012037,1097,503,1000025576,1007796,503,9281,1010940,0,9281,9283,1011988,9302,1012037,9303,1013085,49,49,0,1007796,1013587,92
157,1000009316,1,3,9305,1008843,9318,1009938,47,0,1000025599,1008843,1009938,1095,1000025600,1010438,1010941,1012038,1097,503,1000025579,1007797,503,9289,1010941,0,9289,9291,1011989,9306,1012038,9307,1013086,49,49,0,1007797,1013588,91
158,1000009371,0,2,9360,1015229,9369,1016324,47,0,1000025641,1015229,1016324,1095,1000025642,1016824,1017327,1018424,1097,503,1000025624,1014183,503,9340,1017327,0,9340,9342,1018375,9361,1018424,9362,1019472,49,49,0,1014183,1019974,92
158,1000009375,1,3,9364,1015230,9377,1016325,47,0,1000025647,1015230,1016325,1095,1000025648,1016825,1017328,1018425,1097,503,1000025627,1014184,503,9348,1017328,0,9348,9350,1018376,9365,1018425,9366,1019473,49,49,0,1014184,1019975,91
159,1000009430,0,2,9419,1021616,9428,1022711,47,0,1000025689,1021616,1022711,1095,1000025690,1023211,1023714,1024811,1097,503,1000025672,1020570,503,9399,1023714,0,9399,9401,1024762,9420,1024811,9421,1025859,49,49,0,1020570,1026361,92
159,1000009434,1,3,9423,1021617,9436,1022712,47,0,1000025695,1021617,1022712,1095,1000025696,1023212,1023715,1024812,1097,503,1000025675,1020571,503,9407,1023715,0,9407,9409,1024763,9424,1024812,9425,1025860,49,49,0,1020571,1026362,91
160,1000009489,0,2,9478,1028003,9487,1029098,47,0,1000025737,1028003,1029098,1095,1000025738,1029598,1030101,1031198,1097,503,1000025720,1026957,503,9458,1030101,0,9458,9460,1031149,9479,1031198,9480,1032246,49,49,0,1026957,1032748,92
160,1000009493,1,3,9482,1028004,9495,1029099,47,0,1000025743,1028004,1029099,1095,1000025744,1029599,1030102,1031199,1097,503,1000025723,1026958,503,9466,1030102,0,9466,9468,1031150,9483,1031199,9484,1032247,49,49,0,1026958,1032749,91
161,1000009548,0,2,9537,1034390,9546,1035485,47,0,1000025785,1034390,1035485,1095,1000025786,1035985,1036488,1037585,1097,503,1000025768,1033344,503,9517,1036488,0,9517,9519,1037536,9538,1037585,9539,1038633,49,49,0,1033344,1039135,92
161,1000009552,1,3,9541,1034391,9554,1035486,47,0,1000025791,1034391,1035486,1095,1000025792,1035986,1036489,1037586,1097,503,1000025771,1033345,503,9525,1036489,0,9525,9527,1037537,9542,1037586,9543,1038634,49,49,0,1033345,1039136,91
162,1000009607,0,2,9596,1040777,9605,1041872,47,0,1000025833,1040777,1041872,1095,1000025834,1042372,1042875,1043972,1097,503,1000025816,1039731,503,9576,1042875,0,9576,9578,1043923,9597,1043972,9598,1045020,49,49,0,1039731,1045522,92
162,1000009611,1,3,9600,1040778,9613,1041873,47,0,1000025839,1040778,1041873,1095,1000025840,1042373,1042876,1043973,1097,503,1000025819,1039732,503,9584,1042876,0,9584,9586,1043924,9601,1043973,9602,1045021,49,49,0,1039732,1045523,91
163,1000009666,0,2,9655,1047164,9664,1048259,47,0,1000025881,1047164,1048259,1095,1000025882,1048759,1049262,1050359,1097,503,1000025864,1046118,503,9635,1049262,0,9635,9637,1050310,9656,1050359,9657,1051407,49,49,0,1046118,1051909,92
163,1000009670,1,3,9659,1047165,9672,1048260,47,0,1000025887,1047165,1048260,1095,1000025888,1048760,1049263,1050360,1097,503,1000025867,1046119,503,9643,1049263,0,9643,9645,1050311,9660,1050360,9661,1051408,49,49,0,1046119,1051910,91
164,1000009725,0,2,9714,1053551,9723,1054646,47,0,1000025929,1053551,1054646,1095,1000025930,1055146,1055649,1056746,1097,503,1000025912,1052505,503,9694,1055649,0,9694,9696,1056697,9715,1056746,9716,1057794,49,49,0,1052505,1058296,92
164,1000009729,1,3,9718,1053552,9731,1054647,47,0,1000025935,1053552,1054647,1095,1000025936,1055147,1055650,1056747,1097,503,1000025915,1052506,503,9702,1055650,0,9702,9704,1056698,9719,1056747,9720,1057795,49,49,0,1052506,1058297,91
165,1000009784,0,2,9773,1059938,9782,1061033,47,0,1000025977,1059938,1061033,1095,1000025978,1061533,1062036,1063133,1097,503,1000025960,1058892,503,9753,1062036,0,9753,9755,1063084,9774,1063133,9775,1064181,49,49,0,1058892,1064683,92
165,1000009788,1,3,9777,1059939,9790,1061034,47,0,1000025983,1059939,1061034,1095,1000025984,1061534,1062037,1063134,1097,503,1000025963,1058893,503,9761,1062037,0,9761,9763,1063085,9778,1063134,9779,1064182,49,49,0,1058893,1064684,91
166,1000009843,0,2,9832,1066325,9841,1067420,47,0,1000026025,1066325,1067420,1095,1000026026,1067920,1068423,1069520,1097,503,1000026008,1065279,503,9812,1068423,0,9812,9814,1069471,9833,1069520,9834,1070568,49,49,0,1065279,1071070,92
166,1000009847,1,3,9836,1066326,9849,1067421,47,0,1000026031,1066326,1067421,1095,1000026032,1067921,1068424,1069521,1097,503,1000026011,1065280,503,9820,1068424,0,9820,9822,1069472,9837,1069521,9838,1070569,49,49,0,1065280,1071071,91
167,1000009902,0,2,9891,1072712,9900,1073807,47,0,1000026073,1072712,1073807,1095,1000026074,1074307,1074810,1075907,1097,503,1000026056,1071666,503,9871,1074810,0,9871,9873,1075858,9892,1075907,9893,1076955,49,49,0,1071666,1077457,92
167,1000009906,1,3,9895,1072713,9908,1073808,47,0,1000026079,1072713,1073808,1095,1000026080,1074308,1074811,1075908,1097,503,1000026059,1071667,503,9879,1074811,0,9879,9881,1075859,9896,1075908,9897,1076956,49,49,0,1071667,1077458,91
168,1000009961,0,2,9950,1079099,9959,1080194,47,0,1000026121,1079099,1080194,1095,1000026122,1080694,1081197,1082294,1097,503,1000026104,1078053,503,9930,1081197,0,9930,9932,1082245,9951,1082294,9952,1083342,49,49,0,1078053,1083844,92
168,1000009965,1,3,9954,1079100,9967,1080195,47,0,1000026127,1079100,1080195,1095,1000026128,1080695,1081198,1082295,1097,503,1000026107,1078054,503,9938,1081198,0,9938,9940,1082246,9955,1082295,9956,1083343,49,49,0,1078054,1083845,91
169,1000010020,0,2,10009,1085486,10018,1086581,47,0,1000026169,1085486,1086581,1095,1000026170,1087081,1087584,1088681,1097,503,1000026152,1084440,503,9989,1087584,0,9989,9991,1088632,10010,1088681,10011,1089729,49,49,0,1084440,1090231,92
169,1000010024,1,3,10013,1085487,10026,1086582,47,0,1000026175,1085487,1086582,1095,1000026176,1087082,1087585,1088682,1097,503,1000026155,1084441,503,9997,1087585,0,9997,9999,1088633,10014,1088682,10015,1089730,49,49,0,1084441,1090232,91
170,1000010079,0,2,10068,1091873,10077,1092968,47,0,1000026217,1091873,1092968,1095,1000026218,1093468,1093971,1095068,1097,503,1000026200,1090827,503,10048,1093971,0,10048,10050,1095019,10069,1095068,10070,1096116,49,49,0,1090827,1096618,92
170,1000010083,1,3,10072,1091874,10085,1092969,47,0,1000026223,1091874,1092969,1095,1000026224,1093469,1093972,1095069,1097,503,1000026203,1090828,503,10056,1093972,0,10056,10058,1095020,10073,1095069,10074,1096117,49,49,0,1090828,1096619,91
171,1000010138,0,2,10127,1098260,10136,1099355,47,0,1000026265,1098260,1099355,1095,1000026266,1099855,1100358,1101455,1097,503,1000026248,1097214,503,10107,1100358,0,10107,10109,1101406,10128,1101455,10129,1102503,49,49,0,1097214,1103005,92
171,1000010142,1,3,10131,1098261,10144,1099356,47,0,1000026271,1098261,1099356,1095,1000026272,1099856,1100359,1101456,1097,503,1000026251,1097215,503,10115,1100359,0,10115,10117,1101407,10132,1101456,10133,1102504,49,49,0,1097215,1103006,91
172,1000010197,0,2,10186,1104647,10195,1105742,47,0,1000026313,1104647,1105742,1095,1000026314,1106242,1106745,1107842,1097,503,1000026296,1103601,503,10166,1106745,0,10166,10168,1107793,10187,1107842,10188,1108890,49,49,0,1103601,1109392,92
172,1000010201,1,3,10190,1104648,10203,1105743,47,0,1000026319,1104648,1105743,1095,1000026320,1106243,1106746,1107843,1097,503,1000026299,1103602,503,10174,1106746,0,10174,10176,1107794,10191,1107843,10192,1108891,49,49,0,1103602,1109393,91
173,1000010256,0,2,10245,1111034,10254,1112129,47,0,1000026361,1111034,1112129,1095,1000026362,1112629,1113132,1114229,1097,503,1000026344,1109988,503,10225,1113132,0,10225,10227,1114180,10246,1114229,10247,1115277,49,49,0,1109988,1115779,92
173,1000010260,1,3,10249,1111035,10262,1112130,47,0,1000026367,1111035,1112130,1095,1000026368,1112630,1113133,1114230,1097,503,1000026347,1109989,503,10233,1113133,0,10233,10235,1114181,10250,1114230,10251,1115278,49,49,0,1109989,1115780,91
174,1000010315,0,2,10304,1117421,10313,1118516,47,0,1000026409,1117421,1118516,1095,1000026410,1119016,1119519,1120616,1097,503,1000026392,1116375,503,10284,1119519,0,10284,10286,1120567,10305,1120616,10306,1121664,49,49,0,1116375,1122166,92
174,1000010319,1,3,10308,1117422,10321,1118517,47,0,1000026415,1117422,1118517,1095,1000026416,1119017,1119520,1120617,1097,503,1000026395,1116376,503,10292,1119520,0,10292,10294,1120568,10309,1120617,10310,1121665,49,49,0,1116376,1122167,91
175,1000010374,0,2,10363,1123808,10372,1124903,47,0,1000026457,1123808,1124903,1095,1000026458,1125403,1125906,1127003,1097,503,1000026440,1122762,503,10343,1125906,0,10343,10345,1126954,10364,1127003,10365,1128051,49,49,0,1122762,1128553,92
175,1000010378,1,3,10367,1123809,10380,1124904,47,0,1000026463,1123809,1124904,1095,1000026464,1125404,1125907,1127004,1097,503,1000026443,1122763,503,10351,1125907,0,10351,10353,1126955,10368,1127004,10369,1128052,49,49,0,1122763,1128554,91
176,1000010433,0,2,10422,1130195,10431,1131290,47,0,1000026505,1130195,1131290,1095,1000026506,1131790,1132293,1133390,1097,503,1000026488,1129149,503,10402,1132293,0,10402,10404,1133341,10423,1133390,10424,1134438,49,49,0,1129149,1134940,92
176,1000010437,1,3,10426,1130196,10439,1131291,47,0,1000026511,1130196,1131291,1095,1000026512,1131791,1132294,1133391,1097,503,1000026491,1129150,503,10410,1132294,0,10410,10412,1133342,10427,1133391,10428,1134439,49,49,0,1129150,1134941,91
